title,location,price,bedrooms,bathrooms,toilets,property_type,url
Luxury Finished Serviced 5 Bedroom Terrace With A Room Bq,"Banana Island, Ikoyi, Lagos","₦80,000,000 per annum",5,5,6,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3262987-luxury-finished-serviced-5-bedroom-terrace-with-a-room-bq
Well-finished 5-bedroom Terrace Apartment With Bq,"Banana Island, Ikoyi, Lagos","₦80,000,000 per annum",5,5,6,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3263546-well-finished-5-bedroom-terrace-apartment-with-bq
3 Bedroom Terrace Apartment,"Banana Island, Ikoyi, Lagos","₦65,000,000 per annum",3,3,4,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3224195-3-bedroom-terrace-apartment
Luxury 5 Unit Of 4 Bedroom Terrace Duplex With Bq In A Gated Estate,"Banana Island, Ikoyi, Lagos","₦75,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3255225-luxury-5-unit-of-4-bedroom-terrace-duplex-with-bq-in-a-gated-estate
Luxury 5 Bedrooms Terraced Duplex,"Banana Island, Ikoyi, Lagos","₦80,000,000 per annum",5,5,6,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3267742-luxury-5-bedrooms-terraced-duplex
4 Bedroom Terrace,"Banana Island, Ikoyi, Lagos","₦75,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3258682-4-bedroom-terrace
5 Bedroom Terrace Apartment,"3rd Avenue, Banana Island, Ikoyi, Lagos","₦80,000,000 per annum",5,5,6,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3270274-5-bedroom-terrace-apartment
5 Units Of 4 Bedroom Terraced Apartments With A Bq,"Banana Island, Ikoyi, Lagos","₦75,000,000 per annum",5,5,6,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3253802-5-units-of-4-bedroom-terraced-apartments-with-a-bq
A Well-finished 5-bedroom Terrace Apartment,"Banana Island, Ikoyi, Lagos","₦80,000,000 per annum",5,5,6,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3255762-a-well-finished-5-bedroom-terrace-apartment
4 Bedroom Luxury Terrace With A Staff Room.,"Banana Island, Ikoyi, Lagos","₦60,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3066601-4-bedroom-luxury-terrace-with-a-staff-room
Fully Serviced Furnished 3 Bedrooms Waterfront Apartment + Pool & Gym,"Banana Island, Ikoyi, Lagos","₦40,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3172232-fully-serviced-furnished-3-bedrooms-waterfront-apartment-pool-gym
Ready To Move In 3 Bedrooms Furnished Apartment,"Banana Island, Ikoyi, Lagos","₦40,000,000 per annum",3,3,3,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3249104-ready-to-move-in-3-bedrooms-furnished-apartment
Furnished 3 Bedroom Apartment With Excellent Facilities,"Banana Island, Ikoyi, Lagos","₦60,000,000 per annum",3,2,3,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3162654-furnished-3-bedroom-apartment-with-excellent-facilities
"Furnished 2 Bedroom Apartment, All Rooms Ensuite Fitted Kitchen, Ample Parking","Banana Island, Ikoyi, Lagos","₦28,000,000 per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3252554-furnished-2-bedroom-apartment-all-rooms-ensuite-fitted-kitchen-ample-parking
3 Bedrooms Tastefully Finished High Rise Luxury Flat With Bq,"Bella Vista Estate, Banana Island, Ikoyi, Lagos","₦60,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3030062-3-bedrooms-tastefully-finished-high-rise-luxury-flat-with-bq
4 Bedroom Maisonette,"Banana Island, Ikoyi, Lagos","₦80,000,000 per annum",4,4,5,4 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/banana-island/3245823-4-bedroom-maisonette
Fully Serviced Three Bedroom Apartments With Bq,"Banana Island, Ikoyi, Lagos","₦45,000,000 per annum",3,4,4,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/banana-island/3247298-fully-serviced-three-bedroom-apartments-with-bq
4 Bedroom Fully Furnished & Automated Apartment With 2 Bqs,"Banana Island, Ikoyi, Lagos","$200,000 per annum 
approx. ₦284,212,075",4,4,4,4 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/banana-island/3247821-4-bedroom-fully-furnished-automated-apartment-with-2-bqs
