title,location,price,bedrooms,bathrooms,toilets,property_type,url
2 bedroom flat / apartment for rent,"Ikate Elegushi, Lekki, Lagos","₦13,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate-elegushi/3303393-newly-built-4-units-of-2-bedroom-penthouse-apartments-with-open-plan
1 bedroom mini flat (room and parlour) for rent,"Lekki Phase 1, Lekki, Lagos","₦7,500,000per annum",1,0,0,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/lekki-phase-1/3303389-lovely-luxury-mini-flatunfurnished
4 bedroom terraced duplex for rent,"Ikate, Lekki, Lagos","₦25,000,000per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3302662-4-bedroom-terrace-duplex-with-bq
4 bedroom semi-detached duplex for rent,"Ilasan, Lekki, Lagos","₦15,000,000per annum",4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ilasan/3302365-elegant-design-in-serene-surroundings
3 bedroom flat / apartment for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","₦20,000,000per annum",3,5,5,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3303356-brand-new-luxurious-and-spacious-3-bedroom-apartments-with-pool-gym
5 bedroom detached duplex for rent,"Ikate, Lekki, Lagos","₦25,000,000per annum",5,9,8,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/ikate/3303354-exquisitely-built-unfurnished-5-bedroom-fully-serviced-detached
5 bedroom detached duplex for rent,"Ikota, Lekki, Lagos","₦15,000,000per annum",5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/ikota/3303352-self-service-5-bedroom-fully-detached-duplex-with-bq-fitted-kitchen
3 bedroom flat / apartment for rent,"Royal Palm Will Estate Badore Road, Lekki, Lagos","₦5,000,000per annum",3,0,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/3301709-newly-build-3-bedroom-apartments-in-a-secure-mini-estate
40 bedroom terraced duplex for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","₦250,000,000per annum",40,0,0,40 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/3112417-newly-built-10-units-of-4-bedrooms-terrace-duplex-with-a-pool
Land for rent,"Lekki, Lagos","₦30,000,000per annum",0,0,0,Land for rent,https://nigeriapropertycentre.com/for-rent/land/lagos/lekki/3154877-800sqm-land-directly-facing-a-busy-road
4 bedroom detached duplex for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","₦25,000,000per annum",4,0,5,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3188681-spacious-4-bedroom-detached-duplex-with-spacious-compound-space
5 bedroom house for rent,"Freedom Way, Lekki Phase 1, Lekki, Lagos","₦27,000,000per annum",5,6,6,5 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/lekki-phase-1/3280907-exquisite-5-bedroom-town-home-with-bq
5 bedroom detached duplex for rent,"Lekki Phase 1, Lekki, Lagos","₦60,000,000per annum",5,0,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3303332-fully-furnished-5-bedroom-detached-house-with-pool-and-bq
1 bedroom mini flat (room and parlour) for rent,"Lekki Phase 1, Lekki, Lagos","₦11,000,000",1,0,1,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/lekki-phase-1/3303327-fully-furnished-serviced-mini-flat
28 bedroom block of flats for rent,"Lekki Phase 1, Lekki, Lagos","₦90,000,000",28,0,0,28 bedroom block of flats for rent,https://nigeriapropertycentre.com/for-rent/houses/block-of-flats/lagos/lekki/lekki-phase-1/3303324-premium-residential-apartment-block
Plaza / complex / mall for rent,"Lekki Phase 1, Lekki, Lagos","₦10,000,000per annum",0,0,1,Plaza / complex / mall for rent,https://nigeriapropertycentre.com/for-rent/commercial/plaza-complex-mall/lagos/lekki/lekki-phase-1/3303321-prime-commercial-mall-spaces-on-a-busy-road
2 bedroom house for rent,"Off Admiralty Road, Lekki Phase 1, Lekki, Lagos","₦25,000,000per annum",2,0,3,2 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/lekki-phase-1/3303318-brand-new-luxury-2-bedroom-apartment
3 bedroom flat / apartment for rent,"Lekki Phase 1, Lekki, Lagos","₦22,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3303316-newly-built-3-bedroom-apartment-with-bq-gym-swimming-pool-and-elevator
2 bedroom flat / apartment for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","₦30,000,000per annum",2,3,4,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3303314-brand-new-3-bedroom-apartment
2 bedroom flat / apartment for rent,"Lekki Phase 1, Lekki, Lagos","₦17,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3303313-newly-built-2-bedroom-fully-fitted-apartment
2 bedroom flat / apartment for rent,"Lekki Phase 1, Lekki, Lagos","₦7,000,000per annum",2,0,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3303310-spacious-2-bedroom-apartment
Self contain (single rooms) for rent,"Chevron, Lekki, Lagos","₦1,000,000",0,0,1,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/lekki/3303308-luxurious-fully-furnished-studio-apartment-with-24-hours-power
